"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1999",21.716236,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2000",20.427488,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2001",21.239092,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2002",20.373203,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2003",20.099257,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2004",20.015152,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2005",18.941694,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2006",19.374794,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2007",21.376904,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2008",21.233953,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2009",19.675673,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2010",18.876999,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2011",18.607616,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2012",18.726074,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2013",20.178432,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2014",19.609079,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","1995",14.571465,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","1996",15.629953,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","1997",15.3803,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","1998",14.573853,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","1999",14.320447,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2000",14.57124,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2001",15.125461,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2002",15.205245,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2003",15.144244,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2004",14.954294,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2005",14.389411,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2006",13.977817,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2007",13.964794,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2008",14.344262,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2009",14.031266,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2010",14.054337,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2011",13.950789,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.672824,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1992",27.012686,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1993",23.391813,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1994",21.025787,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1995",19.981585,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1996",20.892225,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1997",21.4547,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1998",21.163851,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","1999",21.047304,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2000",20.510708,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2001",19.248508,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2002",19.135803,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2003",20.397585,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2004",22.509352,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2005",17.302053,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2006",19.622093,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2007",17.105263,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2008",17.442335,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2009",17.045454,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2010",16.750813,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2011",16.666666,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2012",15.300547,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2013",13.857142,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.079531,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2004",13.875598,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2005",16.666666,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2006",11.87863,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2007",11.629049,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2008",9.5237713,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2009",9.5871658,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2010",12.172841,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2011",10.714286,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.8528018,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2013",11.273732,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2014",9.0909081,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1989",25.979979,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1992",17.391092,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1993",7.9486289,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1994",15.181054,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1995",15.754002,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1996",17.775349,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1998",15.671893,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","1999",15.301231,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2000",14.098768,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2001",13.689781,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2002",9.1297121,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2003",1.4760045,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2004",3.0343738,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2005",4.0215263,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2006",0.38438705,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2007",3.6481061,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2008",2.2206545,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2009",3.8760881,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2010",6.3817124,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2011",6.8639054,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2012",11.332462,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2013",8.7236509,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2014",3.7726054,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2015",9.5238094,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2004",19.225464,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2005",13.199229,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2006",12.400077,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2007",15.89033,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2008",13.328559,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2009",15.977813,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2010",14.314784,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2011",14.079813,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2013",14.527463,
"ISL","WAGEGAP","TOT","PC_MENWAGE","A","2014",13.59349,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","1994",25.182482,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","1997",21.716667,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2000",19.729731,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2003",19.702837,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2004",18.230301,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2005",13.793103,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2006",14.411326,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2007",17.953447,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2008",14.964028,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2009",14.887077,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2010",12.844729,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2011",10.446853,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2012",8.3280916,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2013",12.769828,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2014",15.173429,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1986",17.241379,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1987",15.625,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1989",11.111111,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1991",10,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1993",11.504425,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1995",14.583333,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","1998",7.6923075,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2000",8.5185184,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2002",10.344828,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2004",6.6666665,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2006",7.6923075,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2008",11.764706,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2010",9.9403353,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2012",11.111111,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2014",5.5555553,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1975",42.389759,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1976",39.741749,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1977",40.326797,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1978",40.565456,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1979",41.31319,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1980",41.680305,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1981",41.956966,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1982",42.159256,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1983",41.903408,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1984",41.934006,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1985",41.659271,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1986",41.605526,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1987",41.226215,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1988",41.018211,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1989",40.963375,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1990",40.598938,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1991",39.898991,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1992",38.884995,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1993",38.450947,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1994",37.815975,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1995",37.090302,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1996",36.847324,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1997",36.521454,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1998",35.307667,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","1999",34.550838,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2000",33.859303,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2001",33.86467,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2002",32.529724,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2003",31.997351,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2004",31.087391,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2005",32.825439,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2006",32.980831,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2007",31.742323,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2008",30.694397,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2009",28.284924,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2010",28.684301,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2011",27.395365,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2012",26.523546,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2013",26.587578,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2014",25.870991,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1985",52.776234,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1992",46.965488,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1993",47.260319,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1994",45.506378,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1995",44.182205,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1996",43.28278,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1997",42.215485,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1998",42.021843,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","1999",41.803398,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2000",41.654354,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2001",40.416142,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2002",41.028511,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2003",40.083153,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2004",39.623547,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2005",39.616631,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2006",39.774143,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2007",38.162064,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2008",39.037441,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2009",38.614681,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2010",39.605858,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2011",36.564228,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2012",36.298531,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2013",36.599636,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2014",36.653175,
"LUX","WAGEGAP","TOT","PC_MENWAGE","A","2002",15.50058,
"LUX","WAGEGAP","TOT","PC_MENWAGE","A","2006",8.1961594,
"LUX","WAGEGAP","TOT","PC_MENWAGE","A","2010",4.9682708,
"NLD","WAGEGAP","TOT","PC_MENWAGE","A","2002",15.145228,
"NLD","WAGEGAP","TOT","PC_MENWAGE","A","2006",15.888616,
"NLD","WAGEGAP","TOT","PC_MENWAGE","A","2010",18.597561,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1984",21.474653,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1986",23.014999,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1988",20.289234,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1990",17.111124,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1992",15.571565,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1994",13.302432,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1995",13.68283,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1996",20.394886,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1997",12.709497,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1998",11.4,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","1999",8.333333,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2000",7.1665559,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2001",8.0562658,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2002",7.3125,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2003",7.6923075,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2004",8.0766993,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2005",9.6111107,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2006",9.333333,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2007",7.1428571,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2008",8.0536909,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2009",8.7591238,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2010",7.0112362,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2011",4.5333333,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2012",5.9079061,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2013",6.5943236,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2014",6.0833335,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","1997",10.066472,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","1998",10.080347,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","1999",10.140724,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","2000",10.188542,
